Scenario_ID,Analysis_Tier,Parameter_Family,Varied_Parameter,Source_Tag,Parameter_Semantics,HVPath_R_Ohm,DCLink_C_F,Rs_Ohm,R_batt_heat_ref_Ohm,C_batt_J_K,IGBT_Ron_Ohm,IGBT_Vf_V,IGBT_Eon_J,IGBT_Eoff_J,PWM_tdead_s,C_inv_J_K,Rth_inv_K_W,Ambient_K,Coolant_K,Audit_Publish_Guard_s,Window_Start_s,Window_Stop_s,Window_Duration_s,SimulationStop_s,ClosedLoop_Final,MaxAbsSpeed_rad_s,ReactionTorque_RMS_Nm,GateOverlap_Count,GateComplementMismatch_Count,IdRef_Min_A,IdRef_Max_A,IdFb_Mean_A,IqFb_RMS_A,Vdc_Min_V,Vdc_Max_V,Vdc_Ripple_V,Ibatt_RMS_A,Idc_RMS_A,ModulationIndex_Mean,ModulationIndex_Max,VoltageMargin_Min_V,ControlSaturation_Any,T_batt_End_K,T_stator_End_K,T_rotor_End_K,P_batt_heat_Mean_W,P_cu_Mean_W,P_iron_Mean_W,P_inv_Mean_W,P_hv_loss_Model_W,P_batt_terminal_Model_W,P_dc_input_Model_W,P_dc_link_storage_Model_W,DeltaE_batt_Model_J,P_thermal_storage_Model_W,P_heat_rejection_Model_W,P_mech_Model_W,P_unmodeled_Model_W,Residual_dc_link_Model_W,EnergyLedgerValid_Final,ElectricalLedgerValid_Final,KPI_Final_Time_s,RMS_Window_Elapsed_Model_s,RMS_Window_Complete_Model,RMS_Window_s_Model,P_batt_terminal_Recalc_W,P_dc_input_Recalc_W,P_hv_loss_Recalc_W,DeltaE_batt_Recalc_J,P_dc_link_storage_Recalc_W,P_heat_input_Recalc_W,P_thermal_balance_Error_W,P_unmodeled_Recalc_W,Residual_dc_link_Recalc_W,P_batt_terminal_AbsError_W,P_dc_input_AbsError_W,P_hv_loss_AbsError_W,DeltaE_batt_AbsError_J,P_dc_link_storage_AbsError_W,P_unmodeled_AbsError_W,Residual_dc_link_AbsError_W,HVLoss_Coeff_Ohm,BattHeat_Coeff_Ohm,CuLoss_Coeff_Ohm,Edc_Formula_AbsError_J,DeviceProtection_Evaluable,DeviceProtection_Status
B00_Base,ledger_40ms,baseline,none,M4-01C frozen baseline,Reference / Platform baseline,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-124.862999209503,216.577094435805,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
B01_HVPathR_Low,ledger_40ms,physical_path,HVPath_R,ENGINEERING_DEFAULT,physical HV path,0.005,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.04353550298541,0,0,-40,40,0.0705682843880583,7.70976900382666,63.1923423577062,73.9063589758502,10.714016618144,5.55630233110578,16.8904283902084,0.504517799258414,0.949908619410344,3.39543460692844,0,263.150108827722,24.9566461178415,24.9998862628933,12.9602736506347,31.9278237060442,0,46.5454987867447,0.308724955946517,100.808259556627,97.5474263035439,2.40342358896895,-4.55074132829048,-124.78058694229,216.52290804166,-0,19.6227885189227,0.548684708167556,1,1,0.08001,NaN,1,0.04,100.808259556627,97.5474263035437,0.308724955946515,-4.55074132829047,2.40342358896895,91.7423210993701,-2.55795384873636e-13,19.6227885189227,0.548684708167784,0,2.27373675443232e-13,1.60982338570648e-15,1.59872115546023e-14,0,0,2.27373675443232e-13,0.01,0.4198,0.013,0,0,NOT_EVALUABLE
B02_HVPathR_High,ledger_40ms,physical_path,HVPath_R,ENGINEERING_DEFAULT,physical HV path,0.02,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.99132098044609,0,0,-40,40,0.0894343257450733,7.52497257723126,62.7799845961852,73.9954424167808,11.2154578205956,5.33108063934813,17.01285504498,0.497857824539359,0.949999997416674,3.38269033219686,0,263.150100826491,24.9566297233297,24.9998862613193,11.930892644801,31.8823377918539,0,46.4499808055647,1.1368168313293,101.411470911017,97.665937926443,2.04835504595683,-4.53369454223269,-125.267318422347,216.667346495896,-0,19.8939804363118,0.560361107287505,1,1,0.08001,NaN,1,0.04,101.411470911017,97.6659379264433,1.1368168313293,-4.5336945422327,2.04835504595683,91.400028073549,3.69482222595252e-13,19.8939804363118,0.560361107287108,1.4210854715202e-13,2.55795384873636e-13,2.66453525910038e-15,1.4210854715202e-14,0,0,3.97903932025656e-13,0.04,0.4198,0.013,0,0,NOT_EVALUABLE
B03_DCLinkC_Low,ledger_40ms,physical_path,DCLink_C,ENGINEERING_DEFAULT,physical DC-link storage,0.01,0.000235,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.13993089101908,0,0,-40,40,0.389200139590049,4.36220067651776,57.68560267291,76.880190784203,19.1945881112929,11.2324973807583,20.983012083734,0.443175168787506,0.949999993945809,3.50527625578228,0,263.15018883662,24.9569076623033,24.9998862113368,52.96574511219,31.5819961305743,0,45.1153752756472,2.52337994817484,101.476100948757,97.6316146514203,0.0112060071873449,-6.17767384243793,-78.7393159855682,210.925812452154,0,22.2441435871753,1.30990034197477,1,1,0.08001,NaN,1,0.04,101.476100948757,97.63161465142,2.52337994817484,-6.1776738424379,0.0112060071873449,132.186496466586,5.6843418860808e-13,22.2441435871753,1.30990034197529,1.84741111297626e-13,3.41060513164848e-13,1.77635683940025e-15,3.5527136788005e-14,0,0,5.25801624462474e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
B04_DCLinkC_High,ledger_40ms,physical_path,DCLink_C,ENGINEERING_DEFAULT,physical DC-link storage,0.01,0.00094,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.7032569995455,0,0,-40,40,-0.225404033652431,6.46810184069613,65.8415495984838,71.7106342846813,5.86908468619757,3.67029610616226,19.5931110124879,0.504630767418904,0.949889143210828,3.49057167554626,0,263.150126125419,24.9566019602015,24.9998862199743,5.65515665820076,31.9241723330225,0,45.8884133432478,0.269421470138197,99.8581133171189,96.2943552089324,2.89486254207185,-4.22053079901282,-133.828039340058,217.565203144668,0,18.8812436286392,0.399474095976444,1,1,0.08001,NaN,1,0.04,99.8581133171191,96.2943552089324,0.269421470138197,-4.22053079901279,2.89486254207185,83.7371638046092,-2.8421709430404e-13,18.8812436286392,0.399474095976601,2.1316282072803e-13,5.6843418860808e-14,8.32667268468867e-16,2.93098878501041e-14,0,0,1.56319401867222e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
B05_Rs_Low,ledger_40ms,physical_path,Rs,OFFICIAL,physical PMSM winding and copper-loss path,0.01,0.00047,0.0065,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.11390237009447,0,0,-40,40,0.0939765803717865,7.94318766487366,63.2311836714592,74.0190355437044,10.7878518722452,5.23316818148312,16.5088754959126,0.505621783712226,0.949880095099767,3.39730406815208,0,263.1501032344,24.9503923393542,24.9998761492507,11.4966634607456,15.9850102287817,0,46.6637955624435,0.547720984313746,85.4025896466643,82.3762381043128,1.95200110339225,-3.87597012429639,-141.992881378831,216.686071615115,-0,20.2540617677331,0.526629454645558,1,1,0.08001,NaN,1,0.04,85.402589646664,82.3762381043128,0.547720984313748,-3.87597012429638,1.95200110339225,74.6931902362845,2.55795384873636e-13,20.2540617677331,0.526629454645189,3.12638803734444e-13,5.6843418860808e-14,1.22124532708767e-15,3.5527136788005e-15,0,0,3.69482222595252e-13,0.02,0.4198,0.0065,0,0,NOT_EVALUABLE
B06_Rs_High,ledger_40ms,physical_path,Rs,OFFICIAL,physical PMSM winding and copper-loss path,0.01,0.00047,0.026,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.62963019030478,0,0,-40,40,-0.318923806323319,6.18824404385524,62.9383875126195,73.8109740143152,10.8725865016957,6.54207329511292,19.5746655351251,0.488317162395471,0.949999993019049,3.57212433298905,0,263.150116168994,24.9693348081444,24.9999065309536,17.9669039148247,63.6694704692224,0,45.8267534850982,0.855974459972599,131.448848216801,126.054357158609,3.8019794655537,-5.97663008526506,-87.5602071223904,215.879309451509,0,17.2946703369543,0.736537132665816,1,1,0.08001,NaN,1,0.04,131.448848216801,126.054357158609,0.855974459972593,-5.97663008526504,3.8019794655537,128.319102329118,-5.40012479177676e-13,17.2946703369543,0.736537132666157,8.5265128291212e-14,4.2632564145606e-13,6.10622663543836e-15,1.77635683940025e-14,0,0,3.41060513164848e-13,0.02,0.4198,0.026,0,0,NOT_EVALUABLE
B07_BattHeatR_Low,ledger_40ms,thermal_ledger_proxy,M401C_R_batt_heat_ref_Ohm,OFFICIAL+ENGINEERING_DEFAULT,battery heat-source and ledger proxy only,0.01,0.00047,0.013,0.2099,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,6.34568509052985,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.29047807462549,-124.862999209503,210.231409345276,-0,19.4782354381235,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.29047807462551,2.41530629174114,85.368410135773,3.12638803734444e-13,19.4782354381235,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,2.22044604925031e-14,0,0,7.105427357601e-14,0.02,0.2099,0.013,0,0,NOT_EVALUABLE
B08_BattHeatR_High,ledger_40ms,thermal_ledger_proxy,M401C_R_batt_heat_ref_Ohm,OFFICIAL+ENGINEERING_DEFAULT,battery heat-source and ledger proxy only,0.01,0.00047,0.013,0.8396,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,25.3827403621194,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-5.05196028548909,-124.862999209503,229.268464616865,-0,19.478235438124,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-5.0519602854891,2.41530629174114,104.405465407363,5.6843418860808e-13,19.478235438124,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,9.76996261670138e-15,0,0,7.105427357601e-14,0.02,0.8396,0.013,0,0,NOT_EVALUABLE
B09_BattThermalC_Low,ledger_40ms,thermal_ledger_proxy,M401C_C_batt_J_K,ENGINEERING_DEFAULT,battery thermal-storage ledger proxy only,0.01,0.00047,0.013,0.4198,13000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-132.054016004153,223.768111230455,-0,19.4782354381238,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.41060513164848e-13,19.4782354381238,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
B10_BattThermalC_High,ledger_40ms,thermal_ledger_proxy,M401C_C_batt_J_K,ENGINEERING_DEFAULT,battery thermal-storage ledger proxy only,0.01,0.00047,0.013,0.4198,52000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-110.480965620203,202.195060846506,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
B11_InvLoss_Low,ledger_40ms,thermal_ledger_proxy,M401C_IGBT_loss_package,OFFICIAL+ENGINEERING_DEFAULT,Reference inverter-loss ledger package only,0.01,0.00047,0.013,0.4198,26000,0.0005,0.6,0.01143,0.00857,5e-07,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0.0639097911908096,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,33.0975723689198,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-135.839226246086,214.148035932564,-0,32.8835209779476,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,78.3088096864787,2.8421709430404e-14,32.8835209779476,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
